 9,  16,     18,        10.251,     315.9,      3.45
 9,  22,     18,        10.028,     317.9,      3.11
 9,  29,     18,        10.269,     314.5,      3.35
#10,   6,     18,         5.488,     244.9,      3.49
10,  13,     18,        12.156,     294.0,      3.37
10,  18,     18,        10.901,     349.1,      3.37
10,  25,     18,        11.243,     351.9,      3.37
11,   7,     18,        10.975,     312.4,      3.79
11,  17,     18,        11.158,     333.1,      3.49
11,  26,     18,        10.040,     292.6,      3.19
12,   8,     18,        10.340,     284.4,      3.45
12,  15,     18,        10.823,     309.8,      2.99
12,  20,     18,        10.619,     324.0,      3.09
 1,   3,     19,        12.449,     371.8,      2.85
 1,  19,     19,        10.674,     292.5,      2.73
 2,   1,     19,        11.983,     342.0,      2.69
 3,   5,     19,        10.798,     313.6,      2.75
 3,  15,     19,        10.329,     295.3,      2.83
 3,  23,     19,        10.763,     323.2,      3.39
 3,  31,     19,        12.427,     377.1,      3.06
 4,   9,     19,        11.371,     319.4,      3.18
 4,  19,     19,        10.843,     318.2,      3.49
 5,   1,     19,        12.557,     353.9,      3.45
 5,   5,     19,        10.298,     315.5,      3.27
 5,  12,     19,        11.430,     347.0,      3.45
 5,  18,     19,         7.113,     241.2,      3.52
 5,  19,     19,         9.644,     337.4,      3.29
 6,  13,     19,        12.199,     370.7,      3.89
 7,   4,     19,        10.703,     357.5,      3.23
 7,  13,     19,        11.934,     371.5,      3.19
 7,  22,     19,        12.497,     385.1,      3.19
 8,   3,     19,        11.652,     354.2,      2.98
 8,  10,     19,        10.229,     322.1,      3.39
 8,  18,     19,        12.391,     384.0,      2.98
 8,  24,     19,        10.173,     333.8,      2.98
 8,  28,     19,        10.690,     362.2,      2.81
 9,   7,     19,        11.757,     375.8,      3.29
 9,  14,     19,        12.316,     401.4,      3.49
 9,  26,     19,        12.370,     381.1,      2.99
10,   5,     19,        11.257,     347.7,      3.33
10,  17,     19,        11.762,     333.9,      3.29
10,  30,     19,        11.639,     374.8,      3.29
11,   7,     19,        11.948,     351.1,      3.29
11,  19,     19,        12.671,     381.1,      3.25
12,   4,     19,        12.315,     344.2,      3.13
12,  15,     19,        11.201,     302.3,      3.06
12,  22,     19,        12.669,     352.2,      2.99
 1,   4,     20,        10.960,     337.6,      3.06
 1,  11,     20,        11.341,     306.9,      2.89
 1,  20,     20,        11.311,     276.3,      2.89
 1,  26,     20,        11.256,     341.5,      3.19
 2,   3,     20,        11.508,     322.7,      2.89
 2,  10,     20,        11.465,     339.9,      2.99
 2,  16,     20,        10.434,     315.1,      2.92
 3,   2,     20,        11.676,     325.9,      2.95
 3,  12,     20,        10.988,     313.8,      2.85
 3,  27,     20,        11.367,     305.9,      2.59
 4,  13,     20,        12.041,     333.7,      2.99
 4,  25,     20,        11.052,     327.0,      2.39
 5,  10,     20,        11.650,     351.9,      2.43
 5,  21,     20,        11.566,     346.1,      2.59
 5,  31,     20,        12.198,     389.0,      2.21
 6,   6,     20,        11.981,     396.1,      2.51
 6,  12,     20,        12.582,     392.4,      2.59
 6,  21,     20,        13.024,     398.3,      2.55
 7,   2,     20,        12.261,     378.6,      2.59
 7,   9,     20,        11.608,     392.9,      2.59
 7,  11,     20,        10.370,     333.1,      2.65
 7,  25,     20,        10.224,     346.9,      2.79
 7,  31,     20,        11.847,     360.9,      2.99
 8,   4,     20,        12.896,     433.0,      2.99
 8,  12,     20,        11.550,     380.4,      2.51
 8,  22,     20,        11.187,     367.8,      3.09
 8,  29,     20,        12.477,     391.8,      2.49
 9,  12,     20,        11.066,     346.5,      2.63
 9,  20,     20,        12.358,     385.5,      2.69
10,   3,     20,        12.585,     365.3,      3.09
10,  13,     20,        12.844,     394.5,      2.99
10,  31,     20,        12.275,     370.5,      2.69
11,   8,     20,        10.512,     322.8,      2.89
11,  15,     20,        12.279,     387.4,      2.65
11,  28,     20,        12.801,     372.8,      2.65
12,   7,     20,        11.036,     306.1,      2.63
12,  19,     20,        12.696,     353.3,      2.65
12,  28,     20,        12.539,     357.1,      2.53
 1,   8,     21,        12.544,     368.0,      2.75
 1,  27,     21,        13.038,     369.8,      3.09
 2,  11,     21,        12.894,     370.1,      3.19
 3,   4,     21,        12.297,     348.1,      3.19
 3,  17,     21,        12.808,     376.9,      3.32
 4,   1,     21,        12.379,     369.4,      3.45
 4,   2,     21,        11.269,     391.7,      3.19
 4,   5,     21,        10.071,     316.1,      3.26
 4,   6,     21,        12.478,     408.2,      3.49
 4,  14,     21,        12.497,     403.7,      3.29
 4,  29,     21,        12.848,     385.4,      3.68
